step,time_s,altitude_m,position_x_m,position_y_m,velocity_z_m_s,speed_m_s,fuel_mass_kg,throttle
91,1.8200000000000012,94.18994118440669,0.0,0.0,2.8144276010390716,2.8144276010390716,795.6243789882727,0.8226917802375153
92,1.8400000000000012,94.2480785457704,0.0,0.0,2.906868068185338,2.906868068185338,795.5832443992608,0.824973342774113
93,1.8600000000000012,94.30808084172894,0.0,0.0,3.0001147979273166,3.0001147979273166,795.5419957321221,0.827274842730002
94,1.8800000000000012,94.36996433840451,0.0,0.0,3.0941748337789847,3.0941748337789847,795.5006319899857,0.8295964542785307
95,1.9000000000000012,94.433745444026,0.0,0.0,3.189055281074092,3.189055281074092,795.4591521672718,0.8319383531217452
96,1.9200000000000013,94.49944071017626,0.0,0.0,3.284763307512906,3.284763307512906,795.4175552496157,0.8343007165039089
97,1.9400000000000013,94.56706683305053,0.0,0.0,3.381306143713856,3.381306143713856,795.3758402137905,0.8366837232251441
98,1.9600000000000013,94.63664065472594,0.0,0.0,3.478691083770126,3.478691083770126,795.3340060276292,0.8390875536551954
99,1.9800000000000013,94.70817916444216,0.0,0.0,3.5769254858112376,3.5769254858112376,795.2920516499465,0.8415123897473175
100,2.0000000000000013,94.78169949989355,0.0,0.0,3.676016772569669,3.676016772569669,795.2499760304592,0.8439584150522852
101,2.0200000000000014,94.8572189485326,0.0,0.0,3.7759724319525576,3.7759724319525576,795.2077781097065,0.846425814732533
102,2.0400000000000014,94.93475494888497,0.0,0.0,3.8768000176185358,3.8768000176185358,795.1654568189699,0.8489147755764177
103,2.0600000000000014,95.01432509187617,0.0,0.0,3.978507149559739,3.978507149559739,795.1230110801911,0.851425486012611
104,2.0800000000000014,95.09594712216996,0.0,0.0,4.081101514689042,4.081101514689042,795.0804398058905,0.8539581361246207
105,2.1000000000000014,95.17963893951861,0.0,0.0,4.18459086743257,4.18459086743257,795.0377418990843,0.8565129176654435
106,2.1200000000000014,95.26541860012516,0.0,0.0,4.288983030327528,4.288983030327528,794.994916253201,0.8590900240723477
107,2.1400000000000015,95.35330431801766,0.0,0.0,4.3942858946253995,4.3942858946253995,794.9519617519974,0.8616896504817894
108,2.1600000000000015,95.44331446643568,0.0,0.0,4.500507420900573,4.500507420900573,794.9088772694732,0.8643119937444628
109,2.1800000000000015,95.53546757922896,0.0,0.0,4.60765563966443,4.60765563966443,794.865661669786,0.8669572524404862
110,2.2000000000000015,95.62978235226866,0.0,0.0,4.715738651984961,4.715738651984961,794.822313807164,0.8696256268947239
111,2.2200000000000015,95.7262776448709,0.0,0.0,4.8247646301119484,4.8247646301119484,794.7788325258193,0.872317319192246
112,2.2400000000000015,95.82497248123306,0.0,0.0,4.934741818107774,4.934741818107774,794.7352166598597,0.8750325331939269
113,2.2600000000000016,95.92588605188274,0.0,0.0,5.045678532483903,5.045678532483903,794.6914650332,0.8777714745521855
114,2.2800000000000016,96.02903771513961,0.0,0.0,5.1575831628430935,5.1575831628430935,794.6475764594724,0.8805343507268653
115,2.3000000000000016,96.13444699859015,0.0,0.0,5.27046417252739,5.27046417252739,794.603549741936,0.8833213710012592
116,2.3200000000000016,96.24213360057558,0.0,0.0,5.384330099271946,5.384330099271946,794.5593836733859,0.8861327464982759
117,2.3400000000000016,96.35211739169289,0.0,0.0,5.499189555864739,5.499189555864739,794.515077036061,0.8889686901967561
118,2.3600000000000017,96.46441841630913,0.0,0.0,5.6150512308122265,5.6150512308122265,794.4706286015512,0.8918294169479304
119,2.3800000000000017,96.57905689408935,0.0,0.0,5.731923889011001,5.731923889011001,794.4260371307038,0.8947151434920309
120,2.4000000000000017,96.69605322153785,0.0,0.0,5.849816372425495,5.849816372425495,794.3813013735291,0.897626088475048
121,2.4200000000000017,96.81542797355328,0.0,0.0,5.968737600771798,5.968737600771798,794.3364200691054,0.9005624724656414
122,2.4400000000000017,96.93720190499744,0.0,0.0,6.088696572207643,6.088696572207643,794.2913919454821,0.9035245179722016
123,2.4600000000000017,97.061395952278,0.0,0.0,6.209702364028608,6.209702364028608,794.2462157195836,0.9065124494600667
124,2.4800000000000018,97.18803123494541,0.0,0.0,6.331764133370607,6.331764133370607,794.2008900971106,0.9095264933688926
125,2.5000000000000018,97.31712905730379,0.0,0.0,6.454891117918714,6.454891117918714,794.1554137724421,0.9125668781301833
126,2.520000000000002,97.44871091003624,0.0,0.0,6.579092636622391,6.579092636622391,794.1097854285356,0.9156338341849759
127,2.540000000000002,97.58279847184458,0.0,0.0,6.704378090417173,6.704378090417173,794.0640037368263,0.9187275940016868
128,2.560000000000002,97.71941361110365,0.0,0.0,6.830756962952863,6.830756962952863,794.0180673571263,0.9218483920941195
129,2.580000000000002,97.85857838753022,0.0,0.0,6.958238821328322,6.958238821328322,793.9719749375215,0.9249964650396352
130,2.600000000000002,98.00031505386687,0.0,0.0,7.086833316832884,7.086833316832884,793.9257251142695,0.9281720514974858
131,2.620000000000002,98.14464605758076,0.0,0.0,7.2165501856944765,7.2165501856944765,793.8793165116947,0.9313753922273148
132,2.640000000000002,98.29159404257744,0.0,0.0,7.347399249834513,7.347399249834513,793.8327477420834,0.934606730107824
133,2.660000000000002,98.44118185093004,0.0,0.0,7.479390417629608,7.479390417629608,793.7860174055779,0.9378663101556106
134,2.680000000000002,98.59343252462364,0.0,0.0,7.612533684680176,7.612533684680176,793.7391240900702,0.9411543795441726
135,2.700000000000002,98.74836930731536,0.0,0.0,7.7468391345860015,7.7468391345860015,793.692066371093,0.9444711876230877
136,2.720000000000002,98.90601564610994,0.0,0.0,7.882316939728817,7.882316939728817,793.6448428117119,0.9478169859373657
137,2.740000000000002,99.06639519335117,0.0,0.0,8.018977362061973,8.018977362061973,793.597451962415,0.9511920282469759
138,2.760000000000002,99.22953180842931,0.0,0.0,8.15683075390726,8.15683075390726,793.5498923610027,0.9545965705465507
139,2.780000000000002,99.39544955960449,0.0,0.0,8.295887558758945,8.295887558758945,793.5021625324754,0.9580308710852697
140,2.800000000000002,99.56417272584639,0.0,0.0,8.436158312095111,8.436158312095111,793.4542609889211,0.9614951903869213
141,2.820000000000002,99.73572579869031,0.0,0.0,8.577653642196328,8.577653642196328,793.4061862294018,0.9649897912701481
142,2.840000000000002,99.91013348410975,0.0,0.0,8.720384270971767,8.720384270971767,793.3579367398382,0.9685149388688757
143,2.860000000000002,100.0874207044056,0.0,0.0,8.864361014792802,8.864361014792802,793.3095109928948,0.9720709006529265
144,2.880000000000002,100.26761260011229,0.0,0.0,9.009594785334176,9.009594785334176,793.2609074478622,0.9756579464488201
145,2.900000000000002,100.45073453192074,0.0,0.0,9.156096590422802,9.156096590422802,793.2121245505398,0.9792763484607632
146,2.920000000000002,100.63681208261863,0.0,0.0,9.303877534894271,9.303877534894271,793.1631607331168,0.9829263812918297
147,2.940000000000002,100.82587105904777,0.0,0.0,9.452948821457147,9.452948821457147,793.1140144140522,0.9866083219653348
148,2.960000000000002,101.01793749407908,0.0,0.0,9.6033217515651,9.6033217515651,793.0646839979539,0.990322449946399
149,2.980000000000002,101.21303764860502,0.0,0.0,9.755007726296975,9.755007726296975,793.0151678754567,0.9940690471637136
150,3.000000000000002,101.41119801354992,0.0,0.0,9.908018247244872,9.908018247244872,792.9654644230985,0.9978483980314999
151,3.0200000000000022,101.61244531189813,0.0,0.0,10.062364917410276,10.062364917410276,792.915572003197,1.0
152,3.0400000000000023,101.8167948338875,0.0,0.0,10.21747609946882,10.21747609946882,792.865572003197,1.0
153,3.0600000000000023,102.02424675576886,0.0,0.0,10.372596094068136,10.372596094068136,792.8155720031971,1.0
154,3.0800000000000023,102.23480125380186,0.0,0.0,10.527724901650437,10.527724901650437,792.7655720031971,1.0
155,3.1000000000000023,102.44845850425502,0.0,0.0,10.682862522657972,10.682862522657972,792.7155720031972,1.0
156,3.1200000000000023,102.66521868340567,0.0,0.0,10.838008957533024,10.838008957533024,792.6655720031972,1.0
157,3.1400000000000023,102.88508196754003,0.0,0.0,10.993164206717909,10.993164206717909,792.6155720031973,1.0
158,3.1600000000000024,103.10804853295313,0.0,0.0,11.148328270654975,11.148328270654975,792.5655720031973,1.0
159,3.1800000000000024,103.33411855594886,0.0,0.0,11.303501149786603,11.303501149786603,792.5155720031973,1.0
160,3.2000000000000024,103.56329221283997,0.0,0.0,11.458682844555211,11.458682844555211,792.4655720031974,1.0
161,3.2200000000000024,103.79556967994803,0.0,0.0,11.613873355403245,11.613873355403245,792.4155720031974,1.0
162,3.2400000000000024,104.0309511336035,0.0,0.0,11.769072682773187,11.769072682773187,792.3655720031975,1.0
163,3.2600000000000025,104.26943675014564,0.0,0.0,11.924280827107554,11.924280827107554,792.3155720031975,1.0
164,3.2800000000000025,104.51102670592262,0.0,0.0,12.079497788848894,12.079497788848894,792.2655720031976,1.0
165,3.3000000000000025,104.75572117729142,0.0,0.0,12.234723568439788,12.234723568439788,792.2155720031976,1.0
166,3.3200000000000025,105.00352034061788,0.0,0.0,12.389958166322854,12.389958166322854,792.1655720031977,1.0
167,3.3400000000000025,105.2544243722767,0.0,0.0,12.545201582940738,12.545201582940738,792.1155720031977,1.0
168,3.3600000000000025,105.50843344865143,0.0,0.0,12.700453818736122,12.700453818736122,792.0655720031978,1.0
169,3.3800000000000026,105.76554774613446,0.0,0.0,12.855714874151722,12.855714874151722,792.0155720031978,1.0
170,3.4000000000000026,106.02576744112706,0.0,0.0,13.010984749630286,13.010984749630286,791.9655720031978,1.0
171,3.4200000000000026,106.28909271003936,0.0,0.0,13.166263445614595,13.166263445614595,791.9155720031979,1.0
172,3.4400000000000026,106.5555237292903,0.0,0.0,13.321550962547466,13.321550962547466,791.8655720031979,1.0
173,3.4600000000000026,106.82506067530774,0.0,0.0,13.476847300871746,13.476847300871746,791.815572003198,1.0
174,3.4800000000000026,107.09770372452834,0.0,0.0,13.63215246103032,13.63215246103032,791.765572003198,1.0
175,3.5000000000000027,107.37345305339767,0.0,0.0,13.7874664434661,13.7874664434661,791.7155720031981,1.0
176,3.5200000000000027,107.6523088383701,0.0,0.0,13.942789248622036,13.942789248622036,791.6655720031981,1.0
177,3.5400000000000027,107.93427125590893,0.0,0.0,14.09812087694111,14.09812087694111,791.6155720031982,1.0
178,3.5600000000000027,108.21934048248625,0.0,0.0,14.253461328866337,14.253461328866337,791.5655720031982,1.0
179,3.5800000000000027,108.50751669458306,0.0,0.0,14.408810604840765,14.408810604840765,791.5155720031983,1.0
180,3.6000000000000028,108.7988000686892,0.0,0.0,14.564168705307479,14.564168705307479,791.4655720031983,1.0
181,3.6200000000000028,109.09319078130339,0.0,0.0,14.719535630709592,14.719535630709592,791.4155720031983,1.0
182,3.640000000000003,109.3906890089332,0.0,0.0,14.874911381490254,14.874911381490254,791.3655720031984,1.0
183,3.660000000000003,109.69129492809505,0.0,0.0,15.030295958092646,15.030295958092646,791.3155720031984,1.0
184,3.680000000000003,109.99500871531424,0.0,0.0,15.185689360959984,15.185689360959984,791.2655720031985,1.0
185,3.700000000000003,110.30183054712495,0.0,0.0,15.341091590535516,15.341091590535516,791.2155720031985,1.0
186,3.720000000000003,110.6117606000702,0.0,0.0,15.496502647262528,15.496502647262528,791.1655720031986,1.0
187,3.740000000000003,110.92479905070188,0.0,0.0,15.651922531584333,15.651922531584333,791.1155720031986,1.0
188,3.760000000000003,111.24094607558077,0.0,0.0,15.80735124394428,15.80735124394428,791.0655720031987,1.0
189,3.780000000000003,111.56020185127647,0.0,0.0,15.962788784785753,15.962788784785753,791.0155720031987,1.0
190,3.800000000000003,111.88256655436751,0.0,0.0,16.118235154552167,16.118235154552167,790.9655720031988,1.0
191,3.820000000000003,112.20804036144125,0.0,0.0,16.27369035368697,16.27369035368697,790.9155720031988,1.0
192,3.840000000000003,112.53662344909392,0.0,0.0,16.429154382633648,16.429154382633648,790.8655720031988,1.0
193,3.860000000000003,112.86831599393064,0.0,0.0,16.584627241835715,16.584627241835715,790.8155720031989,1.0
194,3.880000000000003,113.20311817256537,0.0,0.0,16.74010893173672,16.74010893173672,790.7655720031989,1.0
195,3.900000000000003,113.54103016162097,0.0,0.0,16.89559945278025,16.89559945278025,790.715572003199,1.0
196,3.920000000000003,113.88205213772916,0.0,0.0,17.051098805409918,17.051098805409918,790.665572003199,1.0
197,3.940000000000003,114.22618427753055,0.0,0.0,17.206606990069375,17.206606990069375,790.6155720031991,1.0
198,3.960000000000003,114.5734267576746,0.0,0.0,17.362124007202304,17.362124007202304,790.5655720031991,1.0
199,3.980000000000003,114.92377975481965,0.0,0.0,17.517649857252422,17.517649857252422,790.5155720031992,1.0
200,4.000000000000003,115.27724344563292,0.0,0.0,17.67318454066348,17.67318454066348,790.4655720031992,1.0
201,4.020000000000002,115.6338180067905,0.0,0.0,17.82872805787926,17.82872805787926,790.4155720031993,1.0
202,4.040000000000002,115.99350361497737,0.0,0.0,17.98428040934358,17.98428040934358,790.3655720031993,1.0
203,4.060000000000001,116.35630044688737,0.0,0.0,18.13984159550029,18.13984159550029,790.3155720031993,1.0
204,4.080000000000001,116.72220867922324,0.0,0.0,18.295411616793274,18.295411616793274,790.2655720031994,1.0
205,4.1000000000000005,117.09122848869657,0.0,0.0,18.45099047366645,18.45099047366645,790.2155720031994,1.0
206,4.12,117.46336005202785,0.0,0.0,18.60657816656377,18.60657816656377,790.1655720031995,1.0
207,4.14,117.83860354594644,0.0,0.0,18.762174695929218,18.762174695929218,790.1155720031995,1.0
